n,win,mean,median,pf,t,avg_win,avg_loss,entry,exit,risk,window
10296,0.28535353535353536,-0.014394227004762793,-0.04144415755772273,0.5614224501128173,-19.082217023944814,0.06457262892236566,-0.04592516241029464,open(시가),→14:30,트레일5%,test
10296,0.21726884226884227,-0.013287194449150866,-0.03597000000000005,0.5196165326040626,-20.65829368782345,0.06615013707195204,-0.03533723919573322,open(시가),→14:30,손절3%+트레일5%,test
10296,0.38073038073038074,-0.013088467887860939,-0.020211067210287977,0.7134356160626932,-9.489801666557394,0.08558622133435786,-0.07375421157529785,open(시가),→종가,손절없음,test
10296,0.1524864024864025,-0.010736155403202373,-0.02598000000000011,0.5389809041842906,-18.979268507248833,0.08231370208711355,-0.027477878559264254,open(시가),→종가,손절2%,test
10296,0.20415695415695415,-0.012337126015427653,-0.03597000000000005,0.5719559293943388,-18.41389655793838,0.08074653671616289,-0.03621580054091012,open(시가),→종가,손절3%,test
10296,0.2774864024864025,-0.014519361994110035,-0.05595000000000005,0.6006808286243246,-17.37946508967591,0.07870991376798188,-0.050324717667224246,open(시가),→종가,손절5%,test
10296,0.26252913752913754,-0.016955688597166414,-0.03597000000000005,0.37275253899017163,-50.737764020712255,0.038381294506274005,-0.036654867489382854,open(시가),→종가,손절3%+익절5%,test
10296,0.22474747474747475,-0.013917797693974861,-0.03597000000000005,0.5052456179760402,-31.366447539149128,0.06323952580959992,-0.03628588170641184,open(시가),→종가,손절3%+익절10%,test
10296,0.30545843045843046,-0.016219772379557264,-0.05594999999999994,0.5369020258722395,-29.03189895592977,0.061562294891850784,-0.05042821897004507,open(시가),→종가,손절5%+익절10%,test
10296,0.23203185703185703,-0.011919637787815372,-0.03597000000000005,0.5467979385655253,-18.627275656640688,0.06197983766963625,-0.03424742922171595,open(시가),→종가,트레일3%,test
10296,0.2867132867132867,-0.014187769567253334,-0.04276789266495406,0.57056554293409,-18.65850817179068,0.06574685134187296,-0.04631835248170605,open(시가),→종가,트레일5%,test
10296,0.2161033411033411,-0.01317459714383356,-0.03597000000000005,0.5262911743585534,-20.328750314781942,0.06773146569597685,-0.03547864742491126,open(시가),→종가,손절3%+트레일5%,test
4044,0.3434718100890208,-0.010305466093771804,-0.013050028976057778,0.594066003925086,-10.1483617923528,0.04390922946377169,-0.038668634504102475,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절없음,train
4044,0.2274975272007913,-0.010034431923855447,-0.02598,0.47637525934523495,-14.861304391631665,0.0401277815389639,-0.024806914761817612,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절2%,train
4044,0.27299703264094954,-0.010592495880444036,-0.025761075097970206,0.5104876909827362,-14.074341282584761,0.04046336859858306,-0.029764493970527682,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절3%,train
4044,0.31132542037586547,-0.011531660694141264,-0.0169566194440352,0.5253289942749856,-13.821336435671048,0.04099358864665876,-0.03527646820583506,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절5%,train
4044,0.30019782393669636,-0.01242427991507142,-0.023279585373643493,0.40612241172119684,-26.123752149592576,0.028302428887407766,-0.02989503061691231,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절3%+익절5%,train
4044,0.2801681503461919,-0.010882909541553546,-0.024649442438352372,0.4913254072941289,-18.804240279794985,0.03751936100086915,-0.029721718378573445,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절3%+익절10%,train
4044,0.31948565776458954,-0.011523123178570878,-0.01647304698763818,0.518392960382906,-16.959377775101288,0.03882264374121269,-0.03515928991562043,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절5%+익절10%,train
4044,0.2776953511374876,-0.009609395330113948,-0.0213540686637087,0.5278456239472624,-11.608667493835242,0.038685690902778375,-0.02817679753468022,h1_green(첫1h 양봉·상단마감→10:30),→12:30,트레일3%,train
4044,0.3115727002967359,-0.010524285258318245,-0.016549652239020326,0.5476701090602325,-11.617298552064508,0.040897519062348224,-0.0337970846275854,h1_green(첫1h 양봉·상단마감→10:30),→12:30,트레일5%,train
4044,0.2687932739861523,-0.01086337858462019,-0.026245706832540124,0.4999154834411692,-13.132025882191527,0.04040170538030238,-0.029708541340748306,h1_green(첫1h 양봉·상단마감→10:30),→12:30,손절3%+트레일5%,train
