train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,train_avg_hold_days,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe,test_avg_hold_days,model,kind,params,exclude_earnings,exit
1603,0.4279475982532751,-0.7033855008073869,-0.778916380681543,0.898883233661536,-0.005926448469696856,-1.0133993165483903,2.5483468496568933,905,0.39226519337016574,-0.6968136228821826,-0.7353443009274614,0.796391372606519,-0.01066119068171603,-1.4139959525818564,2.450828729281768,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 3}"
1093,0.42909423604757546,-0.5960734923145872,-0.7175474035244059,0.8974768032627212,-0.005782379089997749,-0.7195612602613155,3.891125343092406,601,0.3527454242928453,-0.7655742798310701,-0.8048945091293763,0.7386612343935962,-0.021526550536804922,-2.070111435926151,3.7703826955074877,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 5}"
668,0.41317365269461076,-0.5821940934551226,-0.7499067587117103,0.8856666977708152,-0.009106288237282559,-0.7449511491539231,6.49251497005988,367,0.37057220708446864,-0.4319022615433793,-0.6283547211655902,0.8771977080868005,-0.008952633503534669,-0.6510372289821145,6.283378746594005,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": 0.2, ""target_pct"": 0.4, ""max_hold_days"": 10}"
3237,0.4080939141180105,-0.9619748038765205,-0.9674500162368649,0.7978956140400745,-0.009245197378993599,-2.813315107425724,0.998455359901143,2116,0.40784499054820417,-0.9209259900285242,-0.9219428139535168,0.6997413219178767,-0.01013912761457612,-2.2417072469225277,0.997164461247637,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 1}"
1486,0.42799461641991926,-0.8614077799938484,-0.8950275546668396,0.8174796644067093,-0.011044673651098985,-1.2867168744991722,2.9858681022880216,821,0.3873325213154689,-0.8344482953683929,-0.8418839378772037,0.6813678697315442,-0.019184808945071217,-1.1978445728943117,2.97442143727162,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 3}"
928,0.4267241379310345,-0.8242483748221057,-0.8817735007935803,0.7653430818411985,-0.013422693023039965,-1.100013481169706,4.960129310344827,499,0.3867735470941884,-0.37931252676848237,-0.7743684944874322,0.927988774438878,-0.0007300203510599766,0.13060538602724006,4.943887775551103,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 5}"
470,0.4021276595744681,-0.8586269370817904,-0.8959479417623084,0.6839401428575982,-0.03175465014379981,-1.3939475471877352,9.859574468085107,250,0.376,-0.5546000769714816,-0.8382818562698406,0.8497865039269665,-0.019615513427513314,-0.01797483201155419,9.888,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}"
3316,0.43154402895054284,-0.9468322875216122,-0.9529576797712823,0.8233882670926215,-0.00820332805800652,-3.0283201457718327,0.8950542822677925,2134,0.42970946579194,-0.939532453007962,-0.9408336138460076,0.7126048165368395,-0.01252136800034985,-4.223665407608595,0.9025304592314901,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.15, ""max_hold_days"": 1}"
1665,0.4894894894894895,-0.7269800860250946,-0.8142698441963022,0.8921087337746842,-0.0062607379881144554,-1.1490904649375426,2.422822822822823,916,0.4574235807860262,-0.7549056872842028,-0.7644281875189616,0.7700667437943397,-0.013108936080441677,-1.994617874506728,2.4170305676855897,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.15, ""max_hold_days"": 3}"
1131,0.53315649867374,-0.2734000845678981,-0.6431398040210048,0.9675127282287178,-0.0008592672585180356,-0.12482049071292257,3.741821396993811,620,0.4854838709677419,-0.7490927844901788,-0.7893001033040437,0.7237335242152015,-0.020214243494043747,-2.6894192740601492,3.653225806451613,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.15, ""max_hold_days"": 5}"
667,0.5862068965517241,-0.08839449502467689,-0.6071375904916763,0.9821408892316738,0.0012332662715348053,0.09340920548443377,6.535232383808096,360,0.5472222222222223,-0.4757945650401344,-0.5999937896138234,0.8415362526759277,-0.014757948669702953,-1.29494182920133,6.463888888888889,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.15, ""max_hold_days"": 10}"
3248,0.40701970443349755,-0.9609671283759251,-0.9647170183851211,0.7942122165835553,-0.009215534335845113,-3.065891251445986,0.9833743842364532,2117,0.4076523382144544,-0.9618728213809118,-0.96229436094841,0.6491735844465872,-0.014653289443572193,-4.45916892316194,0.9834671705243269,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.4, ""max_hold_days"": 1}"
1517,0.44034278180619646,-0.7730425660785634,-0.8364653880854718,0.8750639420758043,-0.007839014679890224,-1.1125430325558685,2.8602504943968357,843,0.4033214709371293,-0.823763156822316,-0.8409299796958558,0.7134894662628596,-0.016927011628437932,-2.123590435347426,2.833926453143535,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.4, ""max_hold_days"": 3}"
980,0.44387755102040816,-0.6145490878069688,-0.7472026884579388,0.8885455093284117,-0.006859352170727277,-0.6085105988586682,4.58265306122449,530,0.38301886792452833,-0.7004940695593096,-0.7771249072627491,0.8131322269845119,-0.017528175607415365,-1.5288232984679784,4.562264150943396,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.4, ""max_hold_days"": 5}"
